n_per_dim	n_centers	num_params	epochs	time_train_s	peak_mem_mb
1	9	9	10000	411.98	80.60
2	16	16	10000	409.59	120.67
4	36	36	10000	413.15	238.81
6	64	64	10000	413.25	398.35
8	100	100	10000	417.92	605.41
10	144	144	10000	417.37	923.50
12	196	196	10000	418.47	1246.31
14	256	256	10000	417.07	1623.96
16	324	324	10000	429.88	1980.54
18	400	400	10000	441.54	2374.94
20	484	484	10000	455.44	2867.57
