iteration	loss
0	0.000000e+00
1	-1.213245e+01
2	-2.121729e+01
3	-2.923998e+01
4	-3.332315e+01
5	-4.195438e+01
6	-4.422575e+01
7	-4.886164e+01
8	-5.031525e+01
9	-5.368584e+01
10	-5.763942e+01
11	-5.682264e+01
12	-6.250885e+01
13	-6.262703e+01
14	-6.615843e+01
15	-6.760534e+01
16	-6.691144e+01
17	-6.924255e+01
18	-6.858409e+01
19	-6.643699e+01
20	-6.774880e+01
21	-6.971764e+01
22	-6.612693e+01
23	-7.185839e+01
24	-7.003602e+01
25	-7.230191e+01
26	-7.054172e+01
27	-7.115746e+01
28	-7.253474e+01
29	-7.237394e+01
30	-7.029404e+01
31	-7.279844e+01
32	-7.025305e+01
33	-7.674847e+01
34	-7.089935e+01
35	-7.594298e+01
36	-6.977895e+01
37	-7.068303e+01
38	-7.353524e+01
39	-7.276637e+01
40	-7.102247e+01
41	-7.350018e+01
42	-7.510666e+01
43	-6.989228e+01
44	-7.299794e+01
45	-7.389425e+01
46	-7.100815e+01
47	-7.354659e+01
48	-7.253790e+01
49	-7.276965e+01
50	-7.458764e+01
51	-7.115873e+01
52	-7.171788e+01
53	-7.403817e+01
54	-7.527883e+01
55	-7.362481e+01
56	-7.337866e+01
57	-7.378877e+01
58	-7.486397e+01
59	-7.615233e+01
60	-7.188756e+01
61	-7.500027e+01
62	-7.012817e+01
63	-7.343492e+01
64	-7.004285e+01
65	-7.035322e+01
66	-7.498177e+01
67	-7.506226e+01
68	-7.487226e+01
69	-7.203182e+01
70	-7.369003e+01
71	-6.969761e+01
72	-7.250904e+01
73	-7.368564e+01
74	-7.677566e+01
75	-7.311490e+01
76	-7.309801e+01
77	-7.408943e+01
78	-7.286407e+01
79	-7.647844e+01
80	-7.224792e+01
81	-7.322072e+01
82	-7.625259e+01
83	-7.598178e+01
84	-7.249528e+01
85	-7.409344e+01
86	-7.294967e+01
87	-7.211256e+01
88	-7.317904e+01
89	-7.270546e+01
90	-7.501002e+01
91	-7.233790e+01
92	-7.335072e+01
93	-7.695517e+01
94	-7.229320e+01
95	-7.469505e+01
96	-7.114654e+01
97	-7.180702e+01
98	-7.034256e+01
99	-7.375856e+01
100	-7.511698e+01
101	-6.756080e+01
102	-7.658791e+01
103	-7.318671e+01
104	-7.204690e+01
105	-7.459314e+01
106	-7.337227e+01
107	-7.638249e+01
108	-7.333512e+01
109	-7.491718e+01
110	-7.343461e+01
111	-7.226223e+01
112	-7.386545e+01
113	-7.344097e+01
114	-7.222520e+01
115	-7.560703e+01
116	-7.313071e+01
117	-7.315903e+01
118	-7.380968e+01
119	-7.228537e+01
120	-7.430349e+01
121	-7.393859e+01
122	-7.121035e+01
123	-7.558332e+01
124	-7.212660e+01
125	-7.374633e+01
126	-7.295320e+01
127	-7.606072e+01
128	-7.197233e+01
129	-7.384854e+01
130	-7.440484e+01
131	-7.372522e+01
132	-7.074942e+01
133	-7.074131e+01
134	-7.365744e+01
135	-7.657435e+01
136	-7.321314e+01
137	-7.433980e+01
138	-7.255882e+01
139	-7.520149e+01
140	-7.101790e+01
141	-7.311996e+01
142	-7.367987e+01
143	-7.195861e+01
144	-7.507638e+01
145	-7.474427e+01
146	-7.360499e+01
147	-7.540396e+01
148	-7.101136e+01
149	-7.015961e+01
150	-6.885210e+01
151	-7.509085e+01
152	-7.194079e+01
153	-7.139693e+01
154	-7.187710e+01
155	-7.438301e+01
156	-7.276793e+01
157	-7.209661e+01
158	-7.358469e+01
159	-7.532770e+01
160	-7.172410e+01
161	-7.496590e+01
162	-7.171624e+01
163	-7.213337e+01
164	-6.895207e+01
165	-7.624388e+01
166	-7.538935e+01
167	-7.499095e+01
168	-7.158939e+01
169	-6.941868e+01
170	-7.370707e+01
171	-6.974015e+01
172	-7.224894e+01
173	-7.217012e+01
174	-7.234679e+01
175	-7.608100e+01
176	-7.529537e+01
177	-7.277110e+01
178	-7.160130e+01
179	-7.505082e+01
180	-7.641222e+01
181	-7.210504e+01
182	-7.163193e+01
183	-7.518433e+01
184	-7.345594e+01
185	-7.030485e+01
186	-7.382132e+01
187	-7.366067e+01
188	-7.187554e+01
189	-7.487457e+01
190	-7.127277e+01
191	-7.397454e+01
192	-7.246624e+01
193	-7.230969e+01
194	-7.329126e+01
195	-7.312816e+01
196	-7.511331e+01
197	-6.911047e+01
198	-7.173975e+01
199	-7.078951e+01
200	-7.292550e+01
201	-7.103674e+01
202	-7.279811e+01
203	-7.333646e+01
204	-7.345840e+01
205	-7.163391e+01
206	-7.214632e+01
207	-7.069021e+01
208	-7.444678e+01
209	-6.943312e+01
210	-7.340018e+01
211	-7.300963e+01
212	-7.090396e+01
213	-6.949826e+01
214	-7.482813e+01
215	-7.026878e+01
216	-7.109541e+01
217	-7.136755e+01
218	-7.292983e+01
219	-7.526100e+01
220	-7.200870e+01
221	-7.305887e+01
222	-6.928329e+01
223	-7.301137e+01
224	-7.505109e+01
225	-7.179873e+01
226	-7.414909e+01
227	-7.437255e+01
228	-7.488927e+01
229	-7.184349e+01
230	-7.510155e+01
231	-7.414255e+01
232	-7.093571e+01
233	-7.593665e+01
234	-7.533170e+01
235	-7.388332e+01
236	-7.369655e+01
237	-7.484668e+01
238	-7.342835e+01
239	-7.221425e+01
240	-7.112893e+01
241	-7.291860e+01
242	-7.473474e+01
243	-7.291695e+01
244	-7.604271e+01
245	-7.313228e+01
246	-7.479858e+01
247	-7.372534e+01
248	-7.538341e+01
249	-7.491782e+01
250	-7.366765e+01
251	-7.432367e+01
252	-7.310546e+01
253	-7.265674e+01
254	-6.891888e+01
255	-7.719872e+01
256	-7.121742e+01
257	-7.194635e+01
258	-7.036600e+01
259	-7.119674e+01
260	-6.909566e+01
261	-7.202800e+01
262	-7.131947e+01
263	-7.085989e+01
264	-7.312882e+01
265	-7.076236e+01
266	-7.408801e+01
267	-7.314329e+01
268	-7.646187e+01
269	-7.411820e+01
270	-7.631903e+01
271	-7.298235e+01
272	-6.899779e+01
273	-7.157902e+01
274	-7.496014e+01
275	-7.100723e+01
276	-6.929836e+01
277	-7.483078e+01
278	-7.127340e+01
279	-7.552831e+01
280	-7.406917e+01
281	-7.156359e+01
282	-7.073903e+01
283	-7.585736e+01
284	-7.229154e+01
285	-7.177743e+01
286	-7.025954e+01
287	-7.544798e+01
288	-7.268276e+01
289	-7.245660e+01
290	-7.555773e+01
291	-7.393601e+01
292	-7.114541e+01
293	-7.318361e+01
294	-7.737183e+01
295	-7.457963e+01
296	-7.422951e+01
297	-7.670540e+01
298	-7.287089e+01
299	-7.086458e+01
300	-7.770248e+01
301	-7.223380e+01
302	-7.455974e+01
303	-7.143003e+01
304	-7.381913e+01
305	-7.437967e+01
306	-7.097232e+01
307	-7.379474e+01
308	-7.314174e+01
309	-7.412782e+01
310	-7.414721e+01
311	-7.295650e+01
312	-7.170675e+01
313	-7.092096e+01
314	-7.523387e+01
315	-7.597540e+01
316	-7.504485e+01
317	-7.434724e+01
318	-7.237864e+01
319	-7.624689e+01
320	-7.264951e+01
321	-7.190789e+01
322	-7.263837e+01
323	-7.325442e+01
324	-7.203434e+01
325	-7.453872e+01
326	-7.458603e+01
327	-7.667345e+01
328	-7.131821e+01
329	-7.330646e+01
330	-7.134767e+01
331	-7.336662e+01
332	-7.598048e+01
333	-7.179943e+01
