i, epoch, loss, l2_err, h1_err
  0     1 -1.26141e+01 9.56403e-01 1.76005e+00
  1     2 -2.31631e+01 9.40400e-01 2.08585e+00
  2     3 -3.09944e+01 9.25733e-01 2.31727e+00
  3     4 -3.60426e+01 9.11471e-01 2.46854e+00
  4     5 -4.04627e+01 8.96998e-01 2.55894e+00
  5     6 -4.78664e+01 8.82316e-01 2.60048e+00
  6     7 -4.76654e+01 8.67922e-01 2.60540e+00
  7     9 -5.46579e+01 8.40683e-01 2.54865e+00
  8    11 -5.74910e+01 8.15243e-01 2.43229e+00
  9    13 -6.30700e+01 7.90734e-01 2.28917e+00
 10    16 -6.56229e+01 7.53715e-01 2.05652e+00
 11    20 -6.88445e+01 7.07530e-01 1.79912e+00
 12    24 -6.55820e+01 6.66015e-01 1.58759e+00
 13    29 -6.90907e+01 6.15233e-01 1.40971e+00
 14    35 -7.10012e+01 5.40278e-01 1.25355e+00
 15    42 -7.41765e+01 4.40864e-01 1.00810e+00
 16    51 -7.05557e+01 3.31729e-01 6.93331e-01
 17    62 -7.15225e+01 2.27034e-01 4.10030e-01
 18    75 -7.12755e+01 1.39390e-01 2.49231e-01
 19    91 -7.32026e+01 6.45038e-02 1.45544e-01
 20   109 -7.20819e+01 1.91039e-02 1.17894e-01
 21   132 -7.68740e+01 9.81496e-03 1.14683e-01
 22   159 -7.16156e+01 1.14918e-02 1.22200e-01
 23   193 -7.25558e+01 1.13801e-02 1.30441e-01
 24   232 -7.50494e+01 1.15106e-02 1.33889e-01
 25   281 -7.06878e+01 1.17148e-02 1.33092e-01
 26   339 -7.34537e+01 1.18639e-02 1.36590e-01
 27   409 -7.16329e+01 8.99260e-03 9.92531e-02
 28   494 -7.29433e+01 8.38978e-03 9.96860e-02
 29   596 -7.17514e+01 6.66304e-03 7.66699e-02
 30   719 -7.54186e+01 6.54329e-03 7.48635e-02
 31   868 -7.15564e+01 4.46479e-03 5.19340e-02
 32  1048 -7.49905e+01 4.06553e-03 4.86933e-02
 33  1264 -7.33577e+01 3.99732e-03 4.70684e-02
 34  1526 -6.86084e+01 2.54030e-03 2.91552e-02
 35  1842 -7.03012e+01 1.48886e-03 1.69878e-02
 36  2222 -7.16271e+01 9.07826e-04 9.68633e-03
 37  2682 -7.28248e+01 5.67571e-04 5.90423e-03
 38  3237 -7.28967e+01 4.44682e-04 4.08282e-03
 39  3906 -7.31519e+01 4.11042e-04 3.57537e-03
 40  4714 -7.61388e+01 3.93719e-04 3.32572e-03
 41  5689 -7.08668e+01 3.73869e-04 3.05551e-03
 42  6866 -7.12699e+01 3.54081e-04 2.82365e-03
 43  8286 -7.31115e+01 3.34917e-04 2.59264e-03
 44 10000 -6.97721e+01 3.16142e-04 2.38333e-03
