i, epoch, loss, l2_err, h1_err
  0     1 -1.19134e+01 9.49185e-01 1.61940e+00
  1     2 -2.16470e+01 9.30336e-01 1.90005e+00
  2     3 -2.77258e+01 9.12935e-01 2.09694e+00
  3     4 -3.42558e+01 8.95868e-01 2.22857e+00
  4     5 -3.94452e+01 8.78888e-01 2.30452e+00
  5     6 -4.41078e+01 8.62212e-01 2.34523e+00
  6     7 -4.98723e+01 8.45971e-01 2.36325e+00
  7     9 -5.52189e+01 8.14713e-01 2.33433e+00
  8    11 -6.17667e+01 7.85524e-01 2.23844e+00
  9    13 -6.13609e+01 7.57622e-01 2.10811e+00
 10    16 -6.70586e+01 7.17721e-01 1.89043e+00
 11    20 -7.04664e+01 6.69162e-01 1.64962e+00
 12    24 -6.94571e+01 6.22349e-01 1.46104e+00
 13    29 -7.16419e+01 5.56504e-01 1.28614e+00
 14    35 -7.11412e+01 4.68621e-01 1.12351e+00
 15    42 -7.67339e+01 3.63401e-01 8.39356e-01
 16    51 -7.23499e+01 2.54170e-01 5.37812e-01
 17    62 -7.23291e+01 1.57937e-01 2.83455e-01
 18    75 -7.82614e+01 8.41355e-02 1.70631e-01
 19    91 -7.43574e+01 2.45404e-02 9.72050e-02
 20   109 -7.43157e+01 9.87475e-03 9.81099e-02
 21   132 -6.95226e+01 9.62494e-03 9.58008e-02
 22   159 -7.40167e+01 1.01638e-02 1.01299e-01
 23   193 -7.58794e+01 9.99728e-03 9.65093e-02
 24   232 -7.43223e+01 9.57453e-03 9.96022e-02
 25   281 -7.32853e+01 1.10551e-02 1.14866e-01
 26   339 -7.23901e+01 1.11284e-02 1.11664e-01
 27   409 -7.05323e+01 1.12522e-02 1.23034e-01
 28   494 -7.38997e+01 1.13472e-02 1.05884e-01
 29   596 -7.65417e+01 9.30403e-03 9.53781e-02
 30   719 -7.29884e+01 7.87885e-03 7.79072e-02
 31   868 -7.13209e+01 6.77477e-03 6.58519e-02
 32  1048 -7.10136e+01 4.73286e-03 5.00951e-02
 33  1264 -7.02670e+01 2.96631e-03 3.04203e-02
 34  1526 -7.23420e+01 3.28172e-03 3.15893e-02
 35  1842 -7.49052e+01 2.18477e-03 1.95606e-02
 36  2222 -7.39837e+01 1.37705e-03 1.34476e-02
 37  2682 -7.07002e+01 6.38542e-04 5.93433e-03
 38  3237 -7.32306e+01 4.10929e-04 3.59602e-03
 39  3906 -7.38967e+01 3.56899e-04 3.03398e-03
 40  4714 -7.50366e+01 3.42116e-04 2.89432e-03
 41  5689 -7.65818e+01 3.22854e-04 2.65523e-03
 42  6866 -7.34319e+01 3.06278e-04 2.52588e-03
 43  8286 -7.47228e+01 2.89838e-04 2.36567e-03
 44 10000 -7.21666e+01 2.74948e-04 2.30075e-03
