i, epoch, loss, l2_err, h1_err
  0     1 -9.99823e+00 8.92983e-01 9.67304e-01
  1     2 -1.92854e+01 8.40804e-01 9.91291e-01
  2     3 -2.64540e+01 7.93139e-01 1.03448e+00
  3     4 -3.23207e+01 7.48945e-01 1.08113e+00
  4     5 -3.84821e+01 7.09178e-01 1.12042e+00
  5     6 -4.57783e+01 6.72897e-01 1.14292e+00
  6     7 -4.85095e+01 6.39242e-01 1.14763e+00
  7     9 -5.59513e+01 5.76049e-01 1.11531e+00
  8    11 -6.33350e+01 5.14356e-01 1.04811e+00
  9    13 -6.93746e+01 4.55579e-01 9.57666e-01
 10    16 -6.71287e+01 3.81552e-01 8.17423e-01
 11    20 -6.84432e+01 3.12752e-01 6.54615e-01
 12    24 -7.32244e+01 2.52622e-01 5.59883e-01
 13    29 -7.14584e+01 1.82814e-01 4.51738e-01
 14    35 -7.56314e+01 1.27889e-01 3.46788e-01
 15    42 -6.87880e+01 8.04627e-02 2.56212e-01
 16    51 -7.37708e+01 7.33429e-02 1.62211e-01
 17    62 -7.25435e+01 5.96808e-02 1.22261e-01
 18    75 -7.13263e+01 1.88118e-02 6.96077e-02
 19    91 -7.29937e+01 1.48158e-02 4.58190e-02
 20   109 -7.50493e+01 9.03757e-03 3.79496e-02
 21   132 -7.84072e+01 9.72516e-03 3.91486e-02
 22   159 -7.43070e+01 9.89211e-03 3.53267e-02
 23   193 -7.09740e+01 5.66040e-03 2.55870e-02
 24   232 -7.17809e+01 7.23877e-03 3.38460e-02
 25   281 -7.44188e+01 1.09837e-02 4.65175e-02
 26   339 -7.72588e+01 7.95112e-03 3.54584e-02
 27   409 -7.37595e+01 6.42838e-03 3.12889e-02
 28   494 -7.18281e+01 9.36229e-03 3.71424e-02
 29   596 -7.22493e+01 7.29321e-03 3.43583e-02
 30   719 -7.35565e+01 7.76373e-03 3.41909e-02
 31   868 -7.68952e+01 5.54962e-03 2.81928e-02
 32  1048 -7.24873e+01 4.96347e-03 2.47980e-02
 33  1264 -7.10287e+01 5.48441e-03 2.35890e-02
 34  1526 -7.21958e+01 3.53580e-03 2.04435e-02
 35  1842 -7.28337e+01 3.23635e-03 2.07144e-02
 36  2222 -7.26456e+01 2.90915e-03 2.00365e-02
 37  2682 -6.98422e+01 2.84903e-03 1.98958e-02
 38  3237 -7.43440e+01 2.85877e-03 1.98498e-02
 39  3906 -7.32966e+01 2.85405e-03 1.98334e-02
 40  4714 -7.58072e+01 2.85435e-03 1.98310e-02
 41  5689 -7.49833e+01 2.85164e-03 1.98290e-02
 42  6866 -7.53217e+01 2.84851e-03 1.98355e-02
 43  8286 -7.55072e+01 2.84597e-03 1.98270e-02
 44 10000 -7.41748e+01 2.84800e-03 1.98343e-02
