n_per_dim	n_centers	num_params	epochs	time_train_s	peak_mem_mb
1	9	9	10000	373.94	69.87
2	16	16	10000	371.65	101.60
4	36	36	10000	373.62	195.10
6	64	64	10000	375.51	321.36
8	100	100	10000	378.19	486.20
10	144	144	10000	378.39	751.84
12	196	196	10000	378.18	1012.67
14	256	256	10000	377.12	1317.76
16	324	324	10000	385.95	1593.09
18	400	400	10000	397.10	1898.11
20	484	484	10000	405.54	2290.61
