i, epoch, loss, l2_err, h1_err
  0     1 -9.36702e+00 8.54906e-01 8.87477e-01
  1     2 -1.84187e+01 7.87110e-01 8.51416e-01
  2     3 -2.62184e+01 7.24748e-01 8.18928e-01
  3     4 -3.21298e+01 6.69272e-01 7.90094e-01
  4     5 -3.86181e+01 6.19890e-01 7.69506e-01
  5     6 -4.45007e+01 5.77136e-01 7.52190e-01
  6     7 -4.82125e+01 5.39950e-01 7.40137e-01
  7     9 -5.65090e+01 4.81438e-01 7.14133e-01
  8    11 -6.25757e+01 4.38635e-01 6.71650e-01
  9    13 -6.47397e+01 4.04558e-01 6.25608e-01
 10    16 -6.76373e+01 3.57554e-01 5.70721e-01
 11    20 -7.04112e+01 2.75577e-01 4.83072e-01
 12    24 -7.16521e+01 1.73199e-01 3.25013e-01
 13    29 -7.05829e+01 1.24242e-01 1.64789e-01
 14    35 -7.41658e+01 1.96312e-01 2.85468e-01
 15    42 -7.24640e+01 1.59580e-01 2.54980e-01
 16    51 -7.47745e+01 3.01245e-02 8.75325e-02
 17    62 -7.42168e+01 6.38648e-02 1.11609e-01
 18    75 -7.58372e+01 1.85042e-02 7.81150e-02
 19    91 -7.35575e+01 2.14395e-02 7.59493e-02
 20   109 -7.53228e+01 2.03767e-02 7.43279e-02
 21   132 -7.18302e+01 1.93938e-02 7.38993e-02
 22   159 -7.40426e+01 2.01719e-02 7.46190e-02
 23   193 -7.36798e+01 1.98196e-02 7.53375e-02
 24   232 -7.05587e+01 2.02137e-02 7.44090e-02
 25   281 -7.36748e+01 2.03004e-02 7.63716e-02
 26   339 -7.48179e+01 1.96964e-02 7.44160e-02
 27   409 -7.13537e+01 1.95597e-02 7.49898e-02
 28   494 -7.00725e+01 1.93511e-02 7.40548e-02
 29   596 -7.43141e+01 2.07322e-02 7.50925e-02
 30   719 -7.41412e+01 1.93245e-02 7.44756e-02
 31   868 -7.22688e+01 1.92161e-02 7.39465e-02
 32  1048 -7.27627e+01 1.92354e-02 7.41682e-02
 33  1264 -7.33820e+01 1.89352e-02 7.41356e-02
 34  1526 -7.41199e+01 1.92336e-02 7.41020e-02
 35  1842 -7.33279e+01 1.92880e-02 7.40472e-02
 36  2222 -7.22209e+01 1.92720e-02 7.39995e-02
 37  2682 -7.62866e+01 1.92732e-02 7.40128e-02
 38  3237 -7.33128e+01 1.92605e-02 7.40117e-02
 39  3906 -7.52053e+01 1.92641e-02 7.40152e-02
 40  4714 -7.31112e+01 1.92678e-02 7.40141e-02
 41  5689 -6.98822e+01 1.92628e-02 7.40081e-02
 42  6866 -7.19871e+01 1.92643e-02 7.40116e-02
 43  8286 -7.34627e+01 1.92672e-02 7.40063e-02
 44 10000 -7.26857e+01 1.92701e-02 7.40210e-02
