i, epoch, loss, l2_err, h1_err
  0     1 -9.65753e+00 8.46038e-01 8.55589e-01
  1     2 -1.91245e+01 7.71725e-01 7.91506e-01
  2     3 -2.57589e+01 6.99452e-01 7.31538e-01
  3     4 -3.30476e+01 6.29601e-01 6.76851e-01
  4     5 -3.95839e+01 5.62326e-01 6.25884e-01
  5     6 -4.45613e+01 4.98016e-01 5.80338e-01
  6     7 -5.18129e+01 4.37497e-01 5.42905e-01
  7     9 -5.82120e+01 3.30923e-01 4.94953e-01
  8    11 -6.52661e+01 2.50555e-01 4.78198e-01
  9    13 -6.56638e+01 2.05748e-01 4.77825e-01
 10    16 -7.05391e+01 2.12802e-01 4.76957e-01
 11    20 -7.38765e+01 2.72207e-01 4.34333e-01
 12    24 -7.12788e+01 2.96734e-01 3.47767e-01
 13    29 -7.20470e+01 2.46771e-01 2.41013e-01
 14    35 -7.18740e+01 1.26713e-01 1.95724e-01
 15    42 -7.74312e+01 1.24173e-01 2.27629e-01
 16    51 -7.31386e+01 1.24827e-01 1.90664e-01
 17    62 -7.22619e+01 5.57676e-02 1.66732e-01
 18    75 -7.81656e+01 7.63639e-02 1.71603e-01
 19    91 -7.40751e+01 6.33548e-02 1.59490e-01
 20   109 -7.38723e+01 6.18381e-02 1.59727e-01
 21   132 -6.90011e+01 6.20886e-02 1.58681e-01
 22   159 -7.41318e+01 6.25664e-02 1.59152e-01
 23   193 -7.58375e+01 6.22329e-02 1.59033e-01
 24   232 -7.41947e+01 6.25481e-02 1.59191e-01
 25   281 -7.27783e+01 6.26816e-02 1.59886e-01
 26   339 -7.22532e+01 6.23421e-02 1.59554e-01
 27   409 -7.04224e+01 6.22901e-02 1.58976e-01
 28   494 -7.37127e+01 6.24413e-02 1.59192e-01
 29   596 -7.57051e+01 6.22799e-02 1.59260e-01
 30   719 -7.25470e+01 6.12940e-02 1.59023e-01
 31   868 -7.07215e+01 6.18989e-02 1.59076e-01
 32  1048 -7.12591e+01 6.21815e-02 1.59139e-01
 33  1264 -7.02791e+01 6.19169e-02 1.59056e-01
 34  1526 -7.22167e+01 6.19117e-02 1.58929e-01
 35  1842 -7.53018e+01 6.20476e-02 1.59200e-01
 36  2222 -7.36938e+01 6.19415e-02 1.59067e-01
 37  2682 -7.12706e+01 6.19488e-02 1.59068e-01
 38  3237 -7.31379e+01 6.19544e-02 1.59080e-01
 39  3906 -7.37788e+01 6.19609e-02 1.59084e-01
 40  4714 -7.49827e+01 6.19652e-02 1.59087e-01
 41  5689 -7.66630e+01 6.19717e-02 1.59090e-01
 42  6866 -7.34370e+01 6.19861e-02 1.59110e-01
 43  8286 -7.51201e+01 6.19766e-02 1.59109e-01
 44 10000 -7.22499e+01 6.19897e-02 1.59118e-01
