i, epoch, loss, l2_err, h1_err
  0     1 -7.47656e+01 9.89149e-01 1.14770e+00
  1     2 -1.45155e+02 9.84907e-01 1.25327e+00
  2     3 -2.12246e+02 9.81304e-01 1.36204e+00
  3     4 -2.72230e+02 9.77768e-01 1.46514e+00
  4     5 -3.37632e+02 9.74415e-01 1.56009e+00
  5     6 -3.92921e+02 9.70893e-01 1.64546e+00
  6     7 -4.50533e+02 9.67231e-01 1.71815e+00
  7     9 -5.49445e+02 9.58540e-01 1.82672e+00
  8    11 -6.41715e+02 9.47768e-01 1.89757e+00
  9    13 -7.15528e+02 9.34438e-01 1.93998e+00
 10    16 -8.14741e+02 9.08618e-01 1.95774e+00
 11    20 -9.13139e+02 8.61379e-01 1.91995e+00
 12    24 -9.96714e+02 7.99523e-01 1.82865e+00
 13    29 -1.05460e+03 7.05128e-01 1.65962e+00
 14    35 -1.10171e+03 5.78150e-01 1.41804e+00
 15    42 -1.10533e+03 4.29942e-01 1.12893e+00
 16    51 -1.13952e+03 2.62734e-01 7.97737e-01
 17    62 -1.11998e+03 1.19124e-01 4.98360e-01
 18    75 -1.12897e+03 3.51978e-02 2.57726e-01
 19    91 -1.13966e+03 5.90532e-03 1.34351e-01
 20   109 -1.14427e+03 8.78564e-03 1.30365e-01
 21   132 -1.11977e+03 5.74774e-03 1.28737e-01
 22   159 -1.13116e+03 4.45931e-03 1.25749e-01
 23   193 -1.12495e+03 4.13329e-03 1.21897e-01
 24   232 -1.14512e+03 4.30645e-03 1.23601e-01
 25   281 -1.11646e+03 4.33398e-03 1.24098e-01
 26   339 -1.14186e+03 4.24821e-03 1.22951e-01
 27   409 -1.14912e+03 4.94915e-03 1.27454e-01
 28   494 -1.13941e+03 4.33360e-03 1.24016e-01
 29   596 -1.11169e+03 4.27998e-03 1.25049e-01
 30   719 -1.13660e+03 4.30077e-03 1.23424e-01
 31   868 -1.12394e+03 4.55523e-03 1.26672e-01
 32  1048 -1.11165e+03 4.35094e-03 1.24898e-01
 33  1264 -1.12969e+03 4.29404e-03 1.23474e-01
 34  1526 -1.12623e+03 4.20075e-03 1.23719e-01
 35  1842 -1.12316e+03 4.13020e-03 1.23239e-01
 36  2222 -1.11545e+03 4.19643e-03 1.23641e-01
 37  2682 -1.13445e+03 4.24129e-03 1.24080e-01
 38  3237 -1.10846e+03 4.24274e-03 1.24080e-01
 39  3906 -1.13497e+03 4.24211e-03 1.24058e-01
 40  4714 -1.11526e+03 4.24110e-03 1.24040e-01
 41  5689 -1.12420e+03 4.24190e-03 1.24042e-01
 42  6866 -1.13739e+03 4.23957e-03 1.24003e-01
 43  8286 -1.11750e+03 4.23863e-03 1.23982e-01
 44 10000 -1.14010e+03 4.23996e-03 1.23982e-01
