i, epoch, loss, l2_err, h1_err
  0     1 -7.32253e+01 9.79431e-01 1.03172e+00
  1     2 -1.43019e+02 9.68054e-01 1.07261e+00
  2     3 -2.10073e+02 9.56628e-01 1.12484e+00
  3     4 -2.71103e+02 9.45294e-01 1.17721e+00
  4     5 -3.37363e+02 9.32887e-01 1.22209e+00
  5     6 -3.91872e+02 9.19470e-01 1.26049e+00
  6     7 -4.51140e+02 9.05160e-01 1.29090e+00
  7     9 -5.53642e+02 8.73916e-01 1.33398e+00
  8    11 -6.46625e+02 8.40575e-01 1.35913e+00
  9    13 -7.22358e+02 8.05880e-01 1.37243e+00
 10    16 -8.23244e+02 7.50978e-01 1.37335e+00
 11    20 -9.25329e+02 6.72920e-01 1.34158e+00
 12    24 -1.00891e+03 5.91372e-01 1.26941e+00
 13    29 -1.06579e+03 4.89542e-01 1.13792e+00
 14    35 -1.10782e+03 3.75464e-01 9.49236e-01
 15    42 -1.11002e+03 2.59917e-01 7.23523e-01
 16    51 -1.14088e+03 1.43982e-01 4.69231e-01
 17    62 -1.12070e+03 5.14324e-02 2.71413e-01
 18    75 -1.12823e+03 1.92383e-02 1.87953e-01
 19    91 -1.13364e+03 2.27484e-02 1.74617e-01
 20   109 -1.14447e+03 1.50148e-02 1.70493e-01
 21   132 -1.12189e+03 1.34709e-02 1.67576e-01
 22   159 -1.13255e+03 1.36461e-02 1.68705e-01
 23   193 -1.12343e+03 1.19501e-02 1.60574e-01
 24   232 -1.14468e+03 1.24411e-02 1.61833e-01
 25   281 -1.11772e+03 1.29038e-02 1.65485e-01
 26   339 -1.14053e+03 1.25822e-02 1.61981e-01
 27   409 -1.14876e+03 1.35572e-02 1.67243e-01
 28   494 -1.13892e+03 1.22724e-02 1.61012e-01
 29   596 -1.11174e+03 1.32618e-02 1.67145e-01
 30   719 -1.13553e+03 1.33605e-02 1.64829e-01
 31   868 -1.12485e+03 1.32201e-02 1.66081e-01
 32  1048 -1.11187e+03 1.32360e-02 1.66798e-01
 33  1264 -1.13295e+03 1.32716e-02 1.65693e-01
 34  1526 -1.12727e+03 1.28127e-02 1.64149e-01
 35  1842 -1.12236e+03 1.29489e-02 1.65002e-01
 36  2222 -1.11170e+03 1.29674e-02 1.64994e-01
 37  2682 -1.13125e+03 1.30833e-02 1.65593e-01
 38  3237 -1.10796e+03 1.30772e-02 1.65496e-01
 39  3906 -1.13593e+03 1.30697e-02 1.65434e-01
 40  4714 -1.11791e+03 1.30670e-02 1.65414e-01
 41  5689 -1.12065e+03 1.30653e-02 1.65403e-01
 42  6866 -1.13754e+03 1.30587e-02 1.65345e-01
 43  8286 -1.11647e+03 1.30552e-02 1.65310e-01
 44 10000 -1.13984e+03 1.30512e-02 1.65287e-01
