i, epoch, loss, l2_err, h1_err
  0     1 -7.57071e+01 9.82765e-01 1.11805e+00
  1     2 -1.44474e+02 9.76177e-01 1.20956e+00
  2     3 -2.13521e+02 9.70114e-01 1.30163e+00
  3     4 -2.74922e+02 9.64071e-01 1.38606e+00
  4     5 -3.34213e+02 9.57933e-01 1.46243e+00
  5     6 -3.95261e+02 9.51675e-01 1.52724e+00
  6     7 -4.43547e+02 9.45112e-01 1.57954e+00
  7     9 -5.49187e+02 9.30835e-01 1.65456e+00
  8    11 -6.40825e+02 9.14177e-01 1.70102e+00
  9    13 -7.13754e+02 8.94308e-01 1.72669e+00
 10    16 -8.09766e+02 8.57566e-01 1.73318e+00
 11    20 -9.21806e+02 7.93923e-01 1.68520e+00
 12    24 -1.00464e+03 7.17550e-01 1.58266e+00
 13    29 -1.05432e+03 6.11910e-01 1.40446e+00
 14    35 -1.11146e+03 4.82758e-01 1.17146e+00
 15    42 -1.11137e+03 3.44436e-01 9.20905e-01
 16    51 -1.13071e+03 2.01789e-01 6.48625e-01
 17    62 -1.11509e+03 8.95478e-02 3.98774e-01
 18    75 -1.15806e+03 2.55819e-02 2.08858e-01
 19    91 -1.12788e+03 1.00970e-02 1.39367e-01
 20   109 -1.12886e+03 9.21595e-03 1.31883e-01
 21   132 -1.13673e+03 5.32350e-03 1.30323e-01
 22   159 -1.15732e+03 5.54647e-03 1.27717e-01
 23   193 -1.12394e+03 5.21938e-03 1.27446e-01
 24   232 -1.15465e+03 5.48908e-03 1.28737e-01
 25   281 -1.14063e+03 4.93614e-03 1.27109e-01
 26   339 -1.13083e+03 5.22587e-03 1.27716e-01
 27   409 -1.12850e+03 5.46727e-03 1.25950e-01
 28   494 -1.12518e+03 5.05563e-03 1.27285e-01
 29   596 -1.14379e+03 4.98591e-03 1.27063e-01
 30   719 -1.12743e+03 5.02056e-03 1.26912e-01
 31   868 -1.13786e+03 5.45047e-03 1.29113e-01
 32  1048 -1.12687e+03 5.26987e-03 1.28473e-01
 33  1264 -1.13793e+03 5.23430e-03 1.27421e-01
 34  1526 -1.13580e+03 5.21700e-03 1.27399e-01
 35  1842 -1.12254e+03 5.17397e-03 1.27260e-01
 36  2222 -1.11568e+03 5.15927e-03 1.27248e-01
 37  2682 -1.14445e+03 5.16169e-03 1.27264e-01
 38  3237 -1.14780e+03 5.16724e-03 1.27289e-01
 39  3906 -1.12052e+03 5.16516e-03 1.27262e-01
 40  4714 -1.13273e+03 5.16228e-03 1.27221e-01
 41  5689 -1.11940e+03 5.16500e-03 1.27238e-01
 42  6866 -1.13127e+03 5.16962e-03 1.27269e-01
 43  8286 -1.13492e+03 5.17180e-03 1.27286e-01
 44 10000 -1.12278e+03 5.16773e-03 1.27221e-01
