n_per_dim	n_centers	num_params	epochs	time_train_s	peak_mem_mb
1	12	12	10000	414.22	77.26
2	16	16	10000	412.96	90.43
4	30	30	10000	413.15	142.40
6	50	50	10000	416.98	215.52
8	85	85	10000	415.45	327.40
10	129	129	10000	415.08	485.67
12	164	164	10000	418.30	672.75
14	226	226	10000	418.09	811.90
16	279	279	10000	417.05	994.10
18	349	349	10000	422.14	1242.63
20	451	451	10000	432.48	1585.72
