n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_train_s	peak_mem_mb
1	0.5	12	0.678485	1.83113	476.1100	104.73
2	0.3333333333333333	16	0.608486	1.73396	473.5300	127.81
4	0.2	30	0.365791	1.22908	473.0300	216.10
6	0.14285714285714285	50	0.0547142	0.524425	476.8400	337.91
8	0.1111111111111111	85	0.0291091	0.365023	475.1900	526.01
10	0.09090909090909091	129	0.0137459	0.245674	477.9000	791.82
12	0.07692307692307693	164	0.00924085	0.199966	480.6400	1055.93
14	0.06666666666666667	226	0.00515276	0.149898	478.8600	1339.95
16	0.058823529411764705	279	0.00396692	0.13427	479.5500	1645.98
18	0.05263157894736842	349	0.00333938	0.124644	496.7300	2063.27
20	0.047619047619047616	451	0.00226666	0.111471	515.4900	2639.48
