n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_train_s	peak_mem_mb
1	0.5	12	0.502836	1.42682	589.6400	76.53
2	0.3333333333333333	16	0.448211	1.23503	459.3200	88.72
4	0.2	30	0.114494	0.598095	422.0000	137.12
6	0.14285714285714285	50	0.0400789	0.403226	425.3200	205.36
8	0.1111111111111111	85	0.0205857	0.288906	423.1000	309.51
10	0.09090909090909091	129	0.0123285	0.231128	423.9400	453.38
12	0.07692307692307693	164	0.00899908	0.204904	426.3100	680.57
14	0.06666666666666667	226	0.00669932	0.186028	426.2100	773.92
16	0.058823529411764705	279	0.00532047	0.171825	425.0800	920.71
18	0.05263157894736842	349	0.00429274	0.157733	429.0000	1148.24
20	0.047619047619047616	451	0.00319308	0.147057	437.8900	1463.12
