n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_solve_s	peak_mem_mb
1	0.5	9	0.18512029177756423	0.3702630621797557	0.0295	0.00
2	0.3333333333333333	16	0.08777872964030518	0.25384504028562604	0.0018	0.00
4	0.2	36	0.028227487085539914	0.13591116344522844	0.0043	0.00
6	0.14285714285714285	64	0.012027963216198137	0.08144279050072853	0.0042	0.00
8	0.1111111111111111	100	0.006145424495693713	0.05364571831514366	0.0027	0.00
10	0.09090909090909091	144	0.003544343440167543	0.03785818517662064	0.0017	0.00
12	0.07692307692307693	196	0.0022251863646205127	0.028089819372626872	0.0173	0.00
14	0.06666666666666667	256	0.001486878102753972	0.021641372189327143	0.0064	0.00
16	0.058823529411764705	324	0.0010420705820173852	0.017167405122941706	0.0180	0.00
18	0.05263157894736842	400	0.0007583238208281849	0.013939105612827426	0.0104	0.00
20	0.047619047619047616	484	0.0005688765022058647	0.011534672485523773	0.0162	0.00
