n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_solve_s	peak_mem_mb
1	0.5	9	0.172901116972702	0.36623454174759335	0.0316	0.00
2	0.3333333333333333	16	0.10758297633343462	0.31068360946364765	0.0050	0.00
4	0.2	36	0.029304436515151064	0.1416340854581891	0.0122	0.00
6	0.14285714285714285	64	0.01012010604699517	0.06911560076303343	0.0066	0.00
8	0.1111111111111111	100	0.00430986020737662	0.038082195949889375	0.0155	0.00
10	0.09090909090909091	144	0.00212563451714843	0.023048600869676215	0.0186	0.00
12	0.07692307692307693	196	0.0011653980091182827	0.014968711207343612	0.0059	0.00
14	0.06666666666666667	256	0.0006913623489615894	0.01025701454612979	0.0100	0.00
16	0.058823529411764705	324	0.0004358059566246944	0.007328455948459194	0.0440	0.00
18	0.05263157894736842	400	0.0002882352458023679	0.005413852323956301	0.0473	0.00
20	0.047619047619047616	484	0.00019820751827543117	0.004109985362945817	0.0479	0.00
