i	epoch	loss	l2_err	h1_err
0	1	4.46996e+02	1.03286e+00	1.03059e+00
1	2	6.19725e+01	7.80597e-01	8.00934e-01
2	3	-3.56944e+02	4.17953e-01	4.99108e-01
3	4	-7.51485e+02	1.35828e-01	3.65193e-01
4	5	-8.95920e+02	5.48745e-01	6.59473e-01
5	6	-6.25888e+02	4.56220e-01	5.72033e-01
6	7	-7.09835e+02	2.10480e-01	3.86588e-01
7	8	-8.67524e+02	8.47257e-02	3.19544e-01
8	9	-9.06357e+02	2.29364e-01	3.70882e-01
9	10	-8.68143e+02	3.11247e-01	4.19035e-01
10	11	-8.28619e+02	3.27430e-01	4.30040e-01
11	12	-8.15682e+02	3.00141e-01	4.11515e-01
12	13	-8.31674e+02	2.45717e-01	3.77221e-01
13	14	-8.59274e+02	1.74421e-01	3.38974e-01
14	15	-8.87975e+02	6.32641e-02	3.02936e-01
15	16	-9.00879e+02	1.01695e-01	3.13306e-01
16	17	-9.05527e+02	1.72230e-01	3.40670e-01
17	19	-8.86159e+02	1.48045e-01	3.27088e-01
18	20	-8.72943e+02	7.83011e-02	3.00852e-01
19	22	-8.85240e+02	7.21162e-02	2.98846e-01
20	23	-9.01540e+02	1.20493e-01	3.11922e-01
21	25	-9.00891e+02	9.95748e-02	3.02677e-01
22	27	-8.98861e+02	5.98217e-02	2.89467e-01
23	29	-8.93758e+02	7.53957e-02	2.85846e-01
24	32	-8.99993e+02	6.54077e-02	2.85407e-01
25	34	-9.04077e+02	6.40143e-02	2.86752e-01
26	37	-9.11206e+02	7.23359e-02	2.87252e-01
27	40	-8.97651e+02	5.76463e-02	2.79639e-01
28	43	-9.06022e+02	5.85187e-02	2.79809e-01
29	46	-9.01870e+02	5.95658e-02	2.78936e-01
30	50	-9.09000e+02	5.66110e-02	2.77296e-01
31	53	-9.15432e+02	5.61259e-02	2.74789e-01
32	58	-9.10054e+02	5.76449e-02	2.75003e-01
33	62	-9.04046e+02	5.47132e-02	2.74110e-01
34	67	-8.99135e+02	5.57039e-02	2.72419e-01
35	72	-9.08430e+02	5.55003e-02	2.70512e-01
36	77	-9.05056e+02	5.42094e-02	2.68389e-01
37	83	-9.01085e+02	5.39992e-02	2.65066e-01
38	90	-9.04762e+02	5.40743e-02	2.62077e-01
39	97	-9.07892e+02	5.16748e-02	2.53771e-01
40	104	-9.03643e+02	4.95562e-02	2.42552e-01
41	112	-9.11647e+02	4.44270e-02	2.19201e-01
42	121	-9.06262e+02	3.48589e-02	1.75056e-01
43	130	-9.10764e+02	2.46684e-02	1.34809e-01
44	140	-9.04983e+02	2.06609e-02	1.20014e-01
45	151	-9.07835e+02	1.75649e-02	1.01617e-01
46	163	-9.06177e+02	1.55878e-02	9.25197e-02
47	175	-9.07795e+02	1.37291e-02	8.44747e-02
48	189	-9.01570e+02	1.20709e-02	7.97414e-02
49	203	-9.07007e+02	1.07456e-02	7.20569e-02
50	219	-9.06795e+02	9.83114e-03	6.52639e-02
51	235	-9.13802e+02	8.87128e-03	5.99358e-02
52	253	-9.06293e+02	7.44333e-03	5.16212e-02
53	273	-9.06090e+02	6.57486e-03	4.54263e-02
54	294	-9.08147e+02	5.62816e-03	3.95574e-02
55	316	-9.05550e+02	4.83093e-03	3.62457e-02
56	341	-9.07736e+02	4.29981e-03	3.38064e-02
57	367	-9.09311e+02	4.12949e-03	3.09499e-02
58	395	-9.09718e+02	3.62959e-03	2.85848e-02
59	425	-9.11280e+02	3.47734e-03	2.74675e-02
60	458	-9.11478e+02	3.07522e-03	2.60566e-02
61	493	-9.09378e+02	2.93005e-03	2.54184e-02
62	531	-9.08430e+02	3.21544e-03	2.43445e-02
