i	epoch	loss	l2_err	h1_err
0	1	-3.52829e+02	1.91640e-01	4.44603e-01
1	2	-8.74466e+02	8.87337e-01	1.12073e+00
2	3	-1.70810e+02	1.88243e-01	4.18902e-01
3	4	-8.73699e+02	2.45881e-01	3.72784e-01
4	5	-8.55229e+02	3.80783e-01	4.61201e-01
5	6	-7.80398e+02	3.93283e-01	4.70380e-01
6	7	-7.72047e+02	3.43564e-01	4.32415e-01
7	8	-8.07085e+02	2.60271e-01	3.75244e-01
8	9	-8.55395e+02	1.57641e-01	3.19440e-01
9	10	-8.90012e+02	6.41381e-02	2.90444e-01
10	11	-9.03421e+02	1.22046e-01	3.14895e-01
11	12	-8.90675e+02	1.45019e-01	3.17858e-01
12	13	-8.80985e+02	7.81970e-02	3.01964e-01
13	14	-9.05631e+02	1.16370e-01	3.48942e-01
14	15	-8.92927e+02	8.58205e-02	3.36992e-01
15	17	-9.11623e+02	7.64566e-02	3.36806e-01
16	18	-9.02793e+02	8.84866e-02	3.43829e-01
17	19	-9.04521e+02	7.11468e-02	3.27415e-01
18	20	-8.96497e+02	8.87206e-02	3.27222e-01
19	22	-9.08937e+02	7.46302e-02	3.22260e-01
20	23	-9.02738e+02	7.54894e-02	3.15612e-01
21	25	-9.06334e+02	7.03787e-02	3.04634e-01
22	27	-9.03183e+02	6.78491e-02	2.98814e-01
23	29	-9.04500e+02	6.09039e-02	2.88434e-01
24	31	-9.03370e+02	5.80620e-02	2.83962e-01
25	33	-9.04940e+02	5.96787e-02	2.81160e-01
26	35	-9.01974e+02	5.59220e-02	2.78064e-01
27	38	-9.06202e+02	5.76694e-02	2.69900e-01
28	41	-9.02964e+02	5.44610e-02	2.64875e-01
29	43	-9.14200e+02	5.38689e-02	2.59294e-01
30	47	-9.07526e+02	5.19354e-02	2.53824e-01
31	50	-9.04828e+02	5.07372e-02	2.46517e-01
32	53	-9.02307e+02	4.91107e-02	2.36086e-01
33	57	-9.14773e+02	4.49943e-02	2.11256e-01
34	61	-9.10731e+02	3.89968e-02	1.85773e-01
35	65	-8.99948e+02	3.14049e-02	1.48970e-01
36	70	-9.10690e+02	7.86782e-02	1.41737e-01
37	75	-9.06237e+02	6.54791e-02	1.75598e-01
38	80	-9.11082e+02	3.69123e-02	1.78871e-01
39	86	-9.14319e+02	3.13385e-02	1.59310e-01
40	92	-9.10132e+02	2.51075e-02	1.40039e-01
41	98	-9.05490e+02	2.09774e-02	1.23917e-01
42	105	-9.17114e+02	1.67396e-02	1.00763e-01
43	113	-9.06319e+02	1.46484e-02	8.05764e-02
44	121	-9.15168e+02	1.39638e-02	6.87441e-02
45	129	-8.96084e+02	9.87423e-03	5.84224e-02
46	138	-9.10020e+02	8.71122e-03	5.44651e-02
47	148	-9.10312e+02	7.79935e-03	4.97515e-02
48	158	-9.05754e+02	7.32323e-03	4.58835e-02
49	169	-9.07510e+02	6.28185e-03	4.19854e-02
50	181	-9.07672e+02	5.88581e-03	3.98726e-02
51	194	-9.08547e+02	5.72834e-03	3.70948e-02
52	207	-9.11572e+02	5.45162e-03	3.48467e-02
53	222	-9.08645e+02	5.09222e-03	3.37108e-02
54	238	-9.09672e+02	4.86582e-03	3.27939e-02
55	254	-9.09250e+02	4.65897e-03	3.12154e-02
