i, epoch, loss, l2_err, h1_err
  0     1 -7.45763e+01 9.64811e-01 1.00485e+00
  1     2 -1.44857e+02 9.43860e-01 1.01570e+00
  2     3 -2.12767e+02 9.22804e-01 1.02974e+00
  3     4 -2.74841e+02 9.01786e-01 1.04750e+00
  4     5 -3.33134e+02 8.81033e-01 1.06804e+00
  5     6 -3.86460e+02 8.60430e-01 1.08966e+00
  6     7 -4.44818e+02 8.40072e-01 1.11232e+00
  7     9 -5.49029e+02 7.99080e-01 1.15053e+00
  8    11 -6.39013e+02 7.57301e-01 1.17504e+00
  9    13 -7.32693e+02 7.14351e-01 1.18023e+00
 10    16 -8.22038e+02 6.48547e-01 1.15613e+00
 11    20 -9.37595e+02 5.61626e-01 1.08003e+00
 12    24 -1.00588e+03 4.77951e-01 9.75990e-01
 13    29 -1.05213e+03 3.81284e-01 8.37226e-01
 14    35 -1.09378e+03 2.80261e-01 6.75592e-01
 15    42 -1.10717e+03 1.81833e-01 4.98916e-01
 16    51 -1.11592e+03 8.46832e-02 3.26497e-01
 17    62 -1.13327e+03 3.37910e-02 2.18050e-01
 18    75 -1.12804e+03 4.00400e-02 2.00929e-01
 19    91 -1.13696e+03 2.63987e-02 1.86850e-01
 20   109 -1.13024e+03 1.95641e-02 1.81032e-01
 21   132 -1.10108e+03 2.04180e-02 1.80072e-01
 22   159 -1.12246e+03 2.04246e-02 1.82169e-01
 23   193 -1.11841e+03 2.01227e-02 1.82133e-01
 24   232 -1.13492e+03 2.12311e-02 1.83730e-01
 25   281 -1.14509e+03 2.03407e-02 1.79143e-01
 26   339 -1.12399e+03 2.12084e-02 1.82658e-01
 27   409 -1.13209e+03 2.07166e-02 1.81975e-01
 28   494 -1.13314e+03 2.11172e-02 1.85027e-01
 29   596 -1.11707e+03 2.10110e-02 1.82612e-01
 30   719 -1.13855e+03 2.12853e-02 1.82640e-01
 31   868 -1.13449e+03 2.11694e-02 1.84503e-01
 32  1048 -1.11751e+03 2.04968e-02 1.81605e-01
 33  1264 -1.11814e+03 2.07185e-02 1.82616e-01
 34  1526 -1.12454e+03 2.12904e-02 1.84287e-01
 35  1842 -1.13169e+03 2.08469e-02 1.82830e-01
 36  2222 -1.10698e+03 2.08008e-02 1.82555e-01
 37  2682 -1.14222e+03 2.07605e-02 1.82368e-01
 38  3237 -1.11958e+03 2.07666e-02 1.82462e-01
 39  3906 -1.14262e+03 2.07679e-02 1.82467e-01
 40  4714 -1.11921e+03 2.07722e-02 1.82483e-01
 41  5689 -1.13639e+03 2.07700e-02 1.82478e-01
 42  6866 -1.13026e+03 2.07645e-02 1.82461e-01
 43  8286 -1.14196e+03 2.07801e-02 1.82518e-01
 44 10000 -1.13906e+03 2.07705e-02 1.82468e-01
