i, epoch, loss, l2_err, h1_err
  0     1 -8.00546e+01 9.79611e-01 1.21322e+00
  1     2 -1.51625e+02 9.71216e-01 1.40670e+00
  2     3 -2.15743e+02 9.63895e-01 1.59325e+00
  3     4 -2.76547e+02 9.57299e-01 1.75813e+00
  4     5 -3.45572e+02 9.51433e-01 1.89049e+00
  5     6 -3.97033e+02 9.45951e-01 2.00086e+00
  6     7 -4.53604e+02 9.40628e-01 2.09050e+00
  7     9 -5.52338e+02 9.29268e-01 2.20952e+00
  8    11 -6.43581e+02 9.17147e-01 2.27156e+00
  9    13 -7.13709e+02 9.04475e-01 2.30077e+00
 10    16 -8.10895e+02 8.84230e-01 2.29942e+00
 11    20 -9.10720e+02 8.54046e-01 2.23938e+00
 12    24 -9.91719e+02 8.17714e-01 2.14958e+00
 13    29 -1.04820e+03 7.59657e-01 1.99637e+00
 14    35 -1.09784e+03 6.73830e-01 1.78516e+00
 15    42 -1.10232e+03 5.61671e-01 1.52403e+00
 16    51 -1.13750e+03 4.22027e-01 1.21589e+00
 17    62 -1.12327e+03 2.82352e-01 8.83295e-01
 18    75 -1.12520e+03 1.69406e-01 5.61881e-01
 19    91 -1.13800e+03 8.46398e-02 2.87410e-01
 20   109 -1.14405e+03 3.33034e-02 1.64774e-01
 21   132 -1.12331e+03 8.04770e-03 1.35404e-01
 22   159 -1.13236e+03 6.01144e-03 1.36172e-01
 23   193 -1.12413e+03 6.03753e-03 1.38597e-01
 24   232 -1.14433e+03 5.95052e-03 1.36157e-01
 25   281 -1.11753e+03 5.70043e-03 1.32163e-01
 26   339 -1.14363e+03 5.80109e-03 1.33069e-01
 27   409 -1.14769e+03 6.39267e-03 1.37959e-01
 28   494 -1.14071e+03 5.71788e-03 1.33583e-01
 29   596 -1.11194e+03 5.74240e-03 1.33330e-01
 30   719 -1.13455e+03 5.77726e-03 1.33812e-01
 31   868 -1.12562e+03 5.90727e-03 1.34871e-01
 32  1048 -1.10860e+03 5.72612e-03 1.33899e-01
 33  1264 -1.13403e+03 5.85683e-03 1.33685e-01
 34  1526 -1.12910e+03 5.62303e-03 1.32364e-01
 35  1842 -1.12513e+03 5.60480e-03 1.32767e-01
 36  2222 -1.11345e+03 5.68805e-03 1.33228e-01
 37  2682 -1.13471e+03 5.72801e-03 1.33411e-01
 38  3237 -1.10869e+03 5.72460e-03 1.33384e-01
 39  3906 -1.13541e+03 5.71525e-03 1.33269e-01
 40  4714 -1.11588e+03 5.71164e-03 1.33228e-01
 41  5689 -1.12229e+03 5.71053e-03 1.33218e-01
 42  6866 -1.13802e+03 5.70535e-03 1.33166e-01
 43  8286 -1.11828e+03 5.70565e-03 1.33175e-01
 44 10000 -1.13989e+03 5.70804e-03 1.33192e-01
