n_per_dim	n_centers	num_params	epochs	time_train_s	peak_mem_mb
1	12	12	10000	438.62	90.43
2	16	16	10000	438.85	108.74
4	30	30	10000	437.14	178.40
6	50	50	10000	440.81	275.52
8	85	85	10000	438.74	424.68
10	129	129	10000	439.68	635.67
12	164	164	10000	444.24	860.43
14	226	226	10000	442.41	1070.54
16	279	279	10000	443.35	1313.39
18	349	349	10000	452.39	1644.63
20	451	451	10000	469.72	2101.85
