i, epoch, loss, l2_err, h1_err
  0     1 -8.15084e+01 9.90660e-01 1.35994e+00
  1     2 -1.58179e+02 9.86844e-01 1.61597e+00
  2     3 -2.28408e+02 9.83176e-01 1.85921e+00
  3     4 -2.92902e+02 9.79695e-01 2.07396e+00
  4     5 -3.51317e+02 9.76245e-01 2.26320e+00
  5     6 -4.06215e+02 9.72838e-01 2.42057e+00
  6     7 -4.61003e+02 9.69295e-01 2.55131e+00
  7     9 -5.54529e+02 9.61666e-01 2.74440e+00
  8    11 -6.33637e+02 9.52974e-01 2.85531e+00
  9    13 -7.16417e+02 9.43233e-01 2.90329e+00
 10    16 -8.08113e+02 9.27879e-01 2.89310e+00
 11    20 -9.10043e+02 9.07968e-01 2.79875e+00
 12    24 -9.58503e+02 8.86670e-01 2.65282e+00
 13    29 -1.04865e+03 8.54763e-01 2.45041e+00
 14    35 -1.07020e+03 8.06018e-01 2.24019e+00
 15    42 -1.08096e+03 7.28870e-01 2.01839e+00
 16    51 -1.09606e+03 6.07878e-01 1.71964e+00
 17    62 -1.10931e+03 4.59609e-01 1.35451e+00
 18    75 -1.12775e+03 3.17742e-01 9.79216e-01
 19    91 -1.11839e+03 1.98227e-01 6.14820e-01
 20   109 -1.13052e+03 1.12496e-01 3.51204e-01
 21   132 -1.13124e+03 4.85835e-02 1.82434e-01
 22   159 -1.12727e+03 1.44360e-02 1.21728e-01
 23   193 -1.13069e+03 4.22828e-03 1.18568e-01
 24   232 -1.14196e+03 3.74625e-03 1.16807e-01
 25   281 -1.13001e+03 3.29943e-03 1.14944e-01
 26   339 -1.10740e+03 3.40976e-03 1.17464e-01
 27   409 -1.13696e+03 3.52395e-03 1.16228e-01
 28   494 -1.14267e+03 3.18313e-03 1.14639e-01
 29   596 -1.13337e+03 2.95212e-03 1.13396e-01
 30   719 -1.11155e+03 3.38405e-03 1.15632e-01
 31   868 -1.14230e+03 3.28841e-03 1.15841e-01
 32  1048 -1.11805e+03 3.21167e-03 1.15800e-01
 33  1264 -1.14858e+03 3.14659e-03 1.13995e-01
 34  1526 -1.13017e+03 2.90502e-03 1.12903e-01
 35  1842 -1.12643e+03 3.16752e-03 1.13886e-01
 36  2222 -1.12355e+03 3.07776e-03 1.13300e-01
 37  2682 -1.13295e+03 3.03186e-03 1.12989e-01
 38  3237 -1.12000e+03 3.03354e-03 1.13126e-01
 39  3906 -1.13980e+03 3.03341e-03 1.13120e-01
 40  4714 -1.12732e+03 3.03337e-03 1.13123e-01
 41  5689 -1.14028e+03 3.03445e-03 1.13141e-01
 42  6866 -1.13061e+03 3.03714e-03 1.13171e-01
 43  8286 -1.12655e+03 3.03971e-03 1.13201e-01
 44 10000 -1.10380e+03 3.04024e-03 1.13210e-01
