n_per_dim	n_centers	num_params	epochs	time_train_s	peak_mem_mb
1	12	12	10000	589.64	76.53
2	16	16	10000	459.32	88.72
4	30	30	10000	422.00	137.12
6	50	50	10000	425.32	205.36
8	85	85	10000	423.10	309.51
10	129	129	10000	423.94	453.38
12	164	164	10000	426.31	680.57
14	226	226	10000	426.21	773.92
16	279	279	10000	425.08	920.71
18	349	349	10000	429.00	1148.24
20	451	451	10000	437.89	1463.12
